index,message
1386,def
12707,so lost ?
9691,wow they suck
53234,удоты
44061,both of them?
21218,Засвет в квадрате H4!!!
46539,drive
15946,spot pls
31914,lol curious for say gl
6624,they will run
3869,75 ехай
51469,they dr\ef
4659,:|
36284,:-)
3508,dont push!!!!!!!!!!!
23679,ggez
2704,gg bois
28679,thx alot
49704,fck braindeads
41379,ten k
42226,spot them
36648,with u
24839,pls let me
21510,frontline
8261,https://www.twitch.tv/malpa_gaming_ha_ha KONKURS NA ZLOTO I PREMIUM TANKS ..GIVEWAY FOR GOLD AND PREMIUM TANK
2889,оставь
37994,ez
11196,gj
3474,tds IDIOTS
17653,gg
20638,hill is safe
31015,tough crowd
23973,boredom
7394,gl hf
22118,hes just being an ass
49792,usless
34994,ok
38400,elc?
46355,пп
34374,KINDER IDIOTI LEGO GAME MRDKY
13747,pawlack ?
25977,уебан
11048,look conqueror
15737,GG
17171,TRUE
11049,report ??d??ot cong
51724,go 430u
41584,foch hes up
4602,"gsor must be in reload, 3/4 at me"
14777,gg
34136,fuck rng
18901,idiot
41521,cs time to move in‘
24443,idc
44287,is is an idiot xd
41079,clear
49753,idiot team
13317,gg
30514,Im Spotted at E4!
6778,nice arty
12736,*** team
17259,ggs
14644,"borrasque, EAT SHIT ASSHOLE!!!!"
29286,so graet player CS
8179,only idiots
40238,Засвет в квадрате D0!!!
18629,arty help me
51212,183
48199,fuck this rng pos game
12178,yuh be
43162,rigged battle
36172,this one
39347,Im Spotted at F2!
34941,go 430
38512,lol
11516,it was fun to aim void. have a good day
40009,Засвет в квадрате K1!!!
8971,pls
19025,stupid heavy
19774,push is-7
4639,omfg
20212,T57
46757,ka ri can you go behind the tvp
25345,retards
6839,"idiots, T 55 is reloading"
53559,i cant go so fast
15689,Засвет в квадрате D0!!!
46900,nice
41579,dont worry just win
26324,T103 there
25825,GL HF
28671,afk
6993,support you top tier
15637,soon be asking for mark of excellence back :-P
10584,if you want
6920,disabled cancers
46219,hwk if u push up a bit further
3875,пидарасы не помогли
23660,gg
49284,arrty
31570,Im Spotted at K6!
12632,?
1087,gg :D
22604,gg
45784,xd
32827,zizko kam jedes
42933,ae
18221,what do you want?
39293,CCAP
5158,"i mean, A-44 if you are going to take the lead when i'm doing all the damage, then at least do damage"
15281,idiota
24886,thanks stupid tomato platoon
1823,"183, they were all sideways back here...smh"
18194,ggs wp
31568,gg
30739,4k damage
53875,gg
45461,2 BOTS STILL THERE
45490,gg
53598,thx idiots for no play
29863,GOOD JOB IDIOT MORONS
37099,pls
47373,joke matchmaking
40075,Spotted at K7
28864,sgg
19947,F rng
46479,caaaaaaaaaaaap
22427,go
16553,gg
47017,kurvaaa
8460,just cap
37818,stall time
40872,amx has to be close
22300,how is GSOR 1010 looking like?
19130,i go spot
8540,ok
5424,I spot him if he comes here
44060,umm...why is our arty so far forward?
18154,move up you useless cunts
45543,lol
38309,fv lol
21753,EBR - sleep well
51986,лохи
37365,gg
43140,fv afk
22243,arty
54196,Im Spotted at E1!
8849,no way
10169,i need spot
18488,dzięki
28462,ok
6913,omg
9592,do somethin -.-
29846,wn8 is 15^ never saw it
16148,cap
15722,gg
5343,can i get the kill
5522,&lt;3
6016,hi guys
29098,3 cap
2488,cap
9266,I owe u blowjob
1590,asia camping mode
28262,s up
29755,?
29547,weekend scouts
14868,fck this
47495,arl 44 you sleep total !
45559,do you need a tissue Nancy?
22931,seriously
8109,?
47192,i did 7k combi on the other side
3237,areproted
46179,yep
15153,report him
42259,report ebr he he does it on purpose
45793,gg
31516,gg
14588,why so slwo
2760,darn low rolls
20507,what else xD
18143,even 90
24590,fist 10k :)
17069,lolll
38900,e
18491,idiots
1128,learn to play first
11896,гриль и арта тащите
2232,fak off bot
2969,"T30, u can kill arty"
51370,but totally agree who is this Dev noob...
49780,gold in side
40236,Засвет в квадрате D0!!!
48158,scorp
45232,gj
28059,move med idiots
15765,and they still cant remove it
24775,I‘ve been spotted in A2!
20609,Im Spotted at D7!
15814,Засвет в квадрате G4!!!
10795,gomig gforwardwe2
35307,need support south field
41670,go go
42052,gonna buy it again
53690,good
34634,Giga Dumbs BoBs Bobs Dumbs
51380,lol
35407,yep
39290,aim here from a safe place:
23808,AT7 use forest for cammo
10726,E100 uninstall after this game pls
15799,what the f are you doing
43287,the mos monger i see
28162,spać j... zjeby
26287,:)
30987,"you know, you dont need to tell ppl you have daddy issues"
13791,gj
11916,rng
14392,fcking bot
9570,Im Spotted at A8!
30922,church go!
48820,and a mini map
19891,game likes me to suffer
14234,fu
46508,GJ!!
24544,gg
28263,lt?
16143,spoter idiot
25872,this ELC...
22191,skoda idiot???
54244,Typeee
14038,Menj már nemm kapsz spotot.....
51909,tie
23052,i reload than we puch leo?
39217,gg 2nd mark
34758,arty up
21202,what thje fuck is this
25868,топ
20168,report T32 bot
19389,Im Spotted at E4!
7852,gg
36886,go together
8266,what do u want all in the north
32606,е100 тварь ты куда
3132,gg
13696,come to push
16153,Come on!
18752,GO UDES
43167,omgggggg
13556,GG
4481,40% wr player
41855,cap
2377,campers
18443,3601 PIDARMOTINA
25743,&lt;3
15622,her/if it`s :-P
34964,ez
16808,no
12956,got a clear shot
33897,2x noobs
50268,gg
33222,atack t1 heavy go atack
16122,lol
47110,704 ты светился
31893,arty
53649,m41 wtf man
21050,maybe?
4236,so report him as such
12820,z
50996,noice
2245,good
8181,leo
5829,fick NAshorn
11460,idk why im alone tho
14081,say this to T95 against tier 7 xd
30088,i am stock too
29735,move
2473,somebody flank
28330,lol... arty... ns
48127,арта
33900,onoher monger
30049,tamerrrabii senn neyapiyonn
15235,bruh
12609,gg
22471,from where arty?
7451,PA DA
38399,yeah ikr
10833,you block my gun
44816,thx arty ...
48680,???
44403,FU CONDOM VK THX\\
7765,Im Spotted at E1!
47600,Boo hoo
10886,10kills
5223,idiot
4383,im low
47067,Im Spotted at J5!
3207,how many do youy ever see
25931,1 снааряд
11014,boom
7243,arta rdy
13923,gg
28530,сам ты бот
30261,4th times bounced
32780,premium
36241,WOW
1390,mimiim
17185,oke
7235,faqqq
31077,nice spot
11432,Let's goo
25566,scheiß wot
36160,dont need
28007,gj
53345,OMG
39710,BOUURSKE
14641,fu team top tier imbecils
9931,sorry
19535,thanks retards
20825,help charioteer
16509,better push the west
1488,i the bushes i can do good dmg
20767,fuck this 3 idiots
43703,140 idiot
29419,chi nu wtf
16321,TY
4160,this fucking na
10728,sry crom
10721,what are you doing
7971,I've gotten all city maps today so I was like &quot;FINE&quot;
7124,176 ****I
46965,gj
38134,999 ping
22774,едь тт
15432,why supporting the light !!!
13410,all good
51016,fuckin noob
10762,сука дайте свэт
47519,T71
32417,e100 del game
40642,nice
35806,T32 ???
9342,Im Spotted at G3!
46122,arty cap
21682,3cap
23504,1 лт сюда 1 сюда
23406,he will win this game
32532,"binken_boy12345 (Kunze Panzer), you‘re blocking my line of fire!"
42739,ok you want ticket you get ticket
20961,спаксибо ли крос
9967,qvest ?
40412,gg
25239,can‘t move
11543,scoda!
20519,HT have more spot than our
13749,this tiger 1 noob....
10703,such bs
38661,our top tiers gone south
10504,"Vipera please, fuck off"
48838,noob
26457,T34 make the play
11919,u will lose
33946,told ya lemmings dude
52116,info on ambt ?
44293,gj team
10647,noobs
8528,light
25761,Арта (M53/M55) отстрелялась! По мне :(
47357,"im the idiot with 10k spot, but sure its all my fault"
8579,niceee
25190,t67 wait
22181,gg
29761,no ayudaste a nadie shptk ahora no llores
12916,станьте на захват
29130,wow
29254,YES
25632,that clown car
52451,ı m king
35833,lets win comrades
26741,puh
3775,thx noobs
24149,middle noob
52918,gl
2783,morons there
6731,but iam not
3726,super hellcat
53088,Im Spotted at H5!
12232,1-2 lines cunt
8227,must make it a bit easier to mark
50153,me first
27204,omg kid
2884,только сука помогать цже не кому ебланы сука
54428,OK
10234,bro u cant stfu right?
2361,Im Spotted at B6!
46902,shite
50551,light goes and dies on bridge dosent spot mid
4958,gl
37026,je le fait :)
17053,фух
25947,they should
43322,scared to take a hit when has 1000hp
42369,lol
21077,ill spot and you follow close
9534,gg
40337,rotate
13538,gg
13969,wwwd
6764,every td camps on 1 line
51127,what is there?
49878,no time
50317,why?
37203,löwe pls push
5936,"BattleGreen (Skorpion G), T'es tellement gros que tu bloque mon tir d??gage!"
21213,report e 100
26437,нам пи*даа
6855,gg
43595,стадо
19857,ALL REPORT BOT 705A
49860,i will move
53295,wow camping prog...
20993,axaxax
19327,ow
51374,gg wp
25927,а нас убили потому что гандон на лт у нас в тиме
9531,gg meds
26709,good lose
36467,strv cap
18179,gg
24665,cunt
42895,go
20250,#please report excelsiort ... I will raise a ticket
14380,gg
13380,IN
39141,go go stb
9142,кд
17587,nice carry :D
26710,?
40106,"czech_mad_man[BD_CR] (Centurion 7/1), you‘re Blocking my Shot, &gt;=O!!!!"
3362,fgt
42916,gg
4604,arty be redy
1116,hide behind ur meatsheild
45227,dumb idea
48938,not going hill alone bruh
42397,\5.1k games
32895,dwqarrradad
4458,SLEEP?
15694,Засвет в квадрате F6!!!
35358,15 sec to boom
20315,456 Prog ? next
25430,FAKING MONKEY
44788,i actually have someone in radio range this round yay !
1431,BC NOOB
27003,little fashistic CZ nazikid crying but camping with heavy at hill
50063,OBJ 777 POOS CC1 MK2
15753,барани
35286,:P
49383,dont die
32457,amx go idiot#
7353,3 dingi od pierdolonych papier??w
43139,we lost
21378,on th fkn hill
10492,jackson
30545,fv come
53359,NU DAAI L
53438,wtf
15194,u can t do shit
24386,scorpion
13480,gogo
42562,plz help
47313,well done boys
34140,none of you fuckers cloud help
27246,імбіцил сука
3062,so time to camp like a bitch
39215,stop attack
40647,goo
39862,9k dmg lmao
3744,Move medium
37727,how diu u not spot him
28050,report 777
31376,learn to pläy
8992,great
28501,go heavy ????
5309,gg
5236,HEFO
50618,:DDDD
21198,arty fucking farm that rat
36163,gg
25745,gg
40447,this will be a draw I guess
44547,gg
24515,gh FV
17918,xd
37973,GJ
35794,watch taht
43841,bad team
30920,ji ro
48998,char spot hill finaly
15917,panther 5 reports
25563,push on
23283,красавцы
9098,fck rng
36539,не я
36691,bfs
28413,stupids
14529,NEXT LOST ALL ONE SIDE
16389,"cpver ,e"
51131,:D
41917,explain?
17734,BZ reporterd
12781,the daddy 277
13736,skoda bot
33411,nooob
31882,ram him
26395,what the fuck
53669,says the guy at spawn
38879,kuday
46931,Im Spotted at D9!
10940,vai toma no kuuu
18362,what u doing schwarts?
15337,grile stop!
21206,lol
52111,driving is hard
40540,omg
46070,4vs2
46265,always head bad things lmao
37587,how much hp he has?
54429,COMİNGGGGG
28425,gj
53761,LOL
25410,cobra bot and tvp bot
14404,absoluter schrott
43406,it angers me down
15955,Im Spotted at A9!
1515,amy support ???
23177,Правила для того чтоб их нарушать
15174,you kill me and you report me ?
48628,fuck
53498,where u go spot?
27004,im 1 hit i cant spot
21462,arty there 100%
44177,Засвет в квадрате A4!!!
3187,Im Spotted at C6!
1259,3 minutes
18344,want you min
24804,defend
37288,what ateam ...
2156,he has hp full so arty needs to do it
18545,prg 54 go in
43997,gg
36504,pffff
16895,center zero support team
25836,gl hf
45520,Im Spotted at F3!
28700,gl hf folks :)
2207,xd
47888,Im Spotted at D5!
22686,703 ты полный отморозок
29284,ok
5240,thank you
43655,he didnt help
3148,give it pinh cheat?
18003,bot koz
12252,e3 looks direkt to me
54090,Im Spotted at C2!
53051,the biggest threat
29831,what idiots
29871,4+2?
24779,what a game
37527,Арта (M12) отстрелялась! По мне :(
51180,theyr arty is hunting me
35649,is7 coming
1644,gg wg
36681,pls
32178,jg here
4763,RETARDS
35518,Etwas Hilfe bei D4 wäre schon nett!
15406,no
19276,пуст
53458,bot team
15165,moron heavies
31445,"I‘m not upset, it‘s just one of those days"
6776,me
46390,time
53672,while you hid in rear
40888,******
40037,gg
52360,mov **
32878,тупо блядская арта
36773,gg
51367,:P
12148,gg
33499,team stupid
38612,E25
40145,arty
48700,gg
20205,where the fuck are my shots going wg
18394,gg
42982,hahaha 0 dmg
37047,nobody left
7253,Im Spotted at F5!
19694,забыл что я на лт
17882,hol arty
47232,nice vz
33414,FU TEAM ARE U FUCKING BLIND????
38975,nice shot
54456,arta
6415,never stop the enemy when he's making a mistake
28618,Im staying here for now
51654,Sorry IS
16198,Im Spotted at H6!
40695,just pile up
1195,Im Spotted at G1!
1178,no enemy in this side??
13493,aim for leo..
17511,핑 족같네 진짜
30857,...
12053,lemmings
15171,why did you kill me ?
51558,gg
7085,nsss
1030,wtf?
33567,Jerk
34257,fucking camper team on g2
42864,professional spg player
27073,pfff lemmings
17528,got no gold sheel
29797,fuckoifff
22841,can someone help to push me
10276,go all together on is3a
11772,CHAR we have to clean 1/2 line
4683,"Rytis_P[B-D-J] (Skorpion G), you're blocking my line of fire!"
4791,it never missed one shot at me
30292,where is he
1368,sorry bro
15497,cap
31080,thx ebr
23292,stay alive
8562,fv can u send platoon?
33434,ALL REPORT THIS 68 LOSER FOR BOT !!!!!!!!!
52175,mid
39685,i will try to flank and spot arty and vk
50239,gg
7486,arka gdynia
11617,hahahhaa nice scorpion
13489,lol
44542,go udes helped
26329,su
12879,gg arty
3098,useless muppets
4158,i spot this
44635,LIGHTS
29904,great job guys destroy them
38157,90 где то на нашей базе
14221,hey idiots meds if there is no light for spoting it's your job to spot
37789,brate
27366,there has to be 1 TD camping in the bushes
36304,only if you crossed your fingers
14041,menj már!!!!!!!!
30855,take ur mom
37432,leo!!!
46152,t54?
9235,wp
21859,go
40749,gg
9810,32????
36490,who
39521,m8a1 omg
11888,pls stay m10
14718,59 sebzés
54059,gsor
46501,gj
30147,better cap
4432,yeah could do
42830,lol
2943,nice
6397,Hilfe! Ich werde gleich auf A3 verpr??gelt!
38890,cap pls
11370,base is a bit exposed guys
8296,hil??l
42544,gg
2260,gg
9606,lol
35535,that camo man
12379,strv
28931,.I.
54373,p43???
20642,M44 hit me
54013,on sundays only P0laks and Ukran1an cowards
48908,ggg
23373,lol
7195,gg
11409,Засвет в квадрате C1!!!
14414,gg
14721,ok
20070,all fine now
45845,yes
47380,monkey back
7383,KNAI
19669,"fur,lololo"
50417,xd
23305,report that Pz camping bot
11908,gg
53706,keep that in mind
46104,u played well
5988,next shithole and bastard team
29634,xd
40107,gj
49743,top sta 1
26756,airport is that way
14964,Арта (FV304) отстрелялась! По мне :(
47372,RU spot!
51678,gg
4332,3072 :D
3265,Im Spotted at G4!
22685,rooco fuck yue mommy
3678,gg
5538,ich bin raus
10434,"C4ll_me_Adam (S. Conqueror), you are blocking my target!"
18576,eblan
27551,OMG
14633,ты гандюн 85
18339,tell me
36910,one fast go too cap
19426,arties shoting 400 ??
42890,grab a bush
14578,у нас ПТ вобще работают?
10748,wgg
44577,unistall covard
38985,4 heat left
15757,rusia - terorist
44829,Засвет в квадрате B2!!!
28482,look at braindead sh1t Lowe
39987,pantera one shot
47476,gg
8941,thx for the help kv2
48479,up
36322,c meny a retkes anyáda
21678,help me
13224,gg
52780,yea t95
4230,pls all report LT
5953,nice loser
24836,guys
2665,go attack the kv2
28911,i need yhe kill
46844,67
24419,move 150
22780,dont cap
20739,help ELC
41489,do you have turbo on the Hori?
47661,dont cap
15581,idioti
32772,xd
21802,спс за поддержку
8031,"They where in the city untill they had to go back to defend.. That's actually not camping you idiot, but smart.."
5172,meh
6767,wtf tards go shot
40161,go
35989,try spot but do not die
20006,nest
5536,ideal
18648,Tier X me la comes
6986,really got them
27484,i will try
47018,patton
46325,Artty Crying Too :-)))
1580,go back
8118,Chi to
47807,vipera
45544,0-15 maybe?
21812,move
28335,****** BOT TEAM...
6299,my back is starting to hurt
15340,***
4205,Im Spotted at C3!
4878,bisconte you have track you can move you know?
45563,gg
33915,2 asshole
39582,gj
5071,gg
51877,"well, frick"
4715,Im Spotted at H6!
34112,тт виблядки
1747,gud team
5879,fucking hell
5641,what
22769,can any of you losers spot anything?
33846,moron
26241,strv are you blind?
48986,wait for the e75
4732,5 minutes left
24504,i cant push
6390,ko??obanov !!!
45527,amd your view range is crap - wake up
25408,"i think that is why u playin arty, to talk shit right?"
24581,you tortoise ;)
8555,Im Spotted at A5!
38249,gg rng
19599,amx
20948,просто свети
16932,"goldorak ,"
39637,why is hehere
24792,you had them
26806,gg
43884,i was spotting all game until i was surrounded. no support bnut the bum elc
36097,lol gj
37597,go
12972,bot med
17533,you counter chieftains
53688,run
14443,meds hill?
26178,9 0 line needs to shove
6395,Hilfe! Ich werde gleich auf C1 verpr??gelt!
53325,lol
25602,t29 one shot
38565,classic
31582,stuyg
42869,I‘m too slow. arty may have to scout
46057,nice
26694,збейте захват
51495,he ran up on him then didnt even pop his ass lol
54561,die you useless campers
50939,kurwa
24092,#ERROR!
26168,gg
16158,"BOT KRAN, MOVE"
28708,doesnt show
10491,spotte mitte direkt
53085,Im Spotted at D8!
50571,legenc
4708,hahahhaa
12463,Why couldn't it be top tier on a good map?
4571,один вычтрел и меня нет
12902,"ChampionsLeague_ (56TP), you are blocking my target!"
14305,nice idiot
17058,hehe
44960,lol
6790,yep
8870,lock him from other side
13988,wait
47336,:DDDDDDDD
51433,t32 samping with heavy hahah
41235,票亮
51021,2min.
42749,where is arty
38175,thanks
19308,or both
27319,gg sandy
8952,gg
14065,holy shit
26950,соси член мразь
25414,trkd
24207,gg
20209,they will cap
42799,gg
39379,dla mnie tak
16271,no this is new TD
49311,if there are 2 dots they are bots
13330,stay on bridge conq if arty goes that way
4086,cs44
17701,PT A reported
42778,get the wheelie
6093,))
41568,я упал
20911,?
2276,cobra
4920,Im Spotted at G5!
1934,jeszcze t54 zespotowany byl wczesniej wiec widac ze jedzie i chuj nawet jeden sie nie ruszyl
8721,Засвет в квадрате C0!!!
44930,арта сваливай
31294,this aim
24761,rino wrong play
32854,Засвет в квадрате F1!!!
23521,mino can play mid
21761,arty there
40370,freaks look back
9498,idiots
5703,gg
42203,and me lol
3204,YES!
39635,lt
5780,FUUUUUUUUUUUUUU
15561,gratis :Dd
40874,lol
27814,yea
35753,...
27241,word of sleeping morons
47066,Im Spotted at J6!
19116,yep
5904,та суки на пт
16679,with this ***
52113,spotted
2141,help
45218,#ERROR!
23339,1 for the gipper
26660,really e100
39172,gg
43840,i think u su need go now
18578,leo
4976,behind u t26e4
37381,siuuu
26615,лол
40486,Good fishing
40739,G.W. Panther hit me
47644,only shans
36446,yes
11732,good job
29690,don;t die man
52143,:D
14799,gg
53198,i stay behind you
43859,their arty continually wrecked us in mid.
24266,obj idiot
22855,reset? for what? no f team
20805,sometimes you dont need to aim and it hits every time
36238,Trust u
48900,Thank god that IS3-A was bad :p
7244,lets kill him
24201,IDIOT!
8269,NO SPOT
42493,gg
39588,couldnt use repair kit
2742,u do nothing on a2
14725,gl hf
49151,kill m10 rbfm
41151,both
2472,wow
42921,gg
40752,let him 10 kills
48441,LOSERS
9696,xD
51772,just tsay
19243,omg
12555,gg
37734,let me stun them pls
32127,man u have how high wn8?
14684,strv mooove
37111,Im Spotted at E7!
54184,gj bot team
40419,k
15328,ahah
45562,gg
28464,gg
36909,go too cap
34817,нахуй ты стоишль там
16382,all good?
4943,useless lights
28207,lefh go cap
40937,go
20983,enjoy
40254,GF
49379,cos you need 4 lights in a battle
4110,omg
27329,team boot
23680,It‘s a damn miracle I tell ya
45616,GG
50899,my spot sorry mate
26051,no way i am on the good team
46580,2 heavys stoped 5?
35361,ns
53543,gg
4795,noobs
8807,GOOD FARMERS DONT LOSE
47908,pozz svima
15827,gg
34485,report caro for bot
12661,sorry I hit you!
34582,noob light
31576,fuck you concept 1
6612,all defend
24172,can you go?
28111,7 left
45634,finally
19064,best leo ever...
24249,Awesome job AMX...
48339,nop
22895,stupid bot
49384,dont do it
52866,Im Spotted at E4!
17820,and can u spot him?
5422,we shoot for you
47965,gg
15593,wow
28208,spotted
49771,one on either side
53361,CURVA BLT JUS SUKA GALVOJAT KAD MAN IDOMU BLT 46M SITA CHUINEEEEEEEEEEEEEEEEEEEEEEEEE
4526,:(
14466,we nico!
43314,не лбз
2906,dane the killer
19520,omg
25536,idiots
19627,60tp hold your noobposition pls and we win easy
26194,this f useless ape play as f retard ape
49684,push them
49971,t30 is waiting on the corner
50219,me too
19600,run from seaside
35401,704 stay safe
26551,nice
50922,pushing me
12277,play under
19149,gg
47274,Im Spotted at E8!
6301,ill get arnie
50386,I've been spotted in E2!
13522,"amx, go for the m44"
1091,gg
4851,fuicking RNG
51756,Fucking useless team
44086,LOL
46733,i'll support heavies
16254,wtf T29
7586,карта конча
13788,pozz
13926,tell us another one just like it please
23692,.......
35798,come back
5277,ok
48312,an excelssior has only a little less damage than one of the guns on this tank
24541,lol
30971,Report PzIIIE pls
44329,gg noobs
17651,go there imbeciles
44691,just go
51363,ok
34752,Im Spotted at D7!
7645,how many dmg arty? 2k? XDDDDDD
51836,LOSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS
30529,who the fuck are you shooting retard
39356,grille at c1
40090,Spotted at C7
44331,Засвет в квадрате F8!!!
17897,do smoething
19996,gg
12870,bot
22666,#ERROR!
11991,leopard... you're aimed at a rock... move and help out
35036,let‘s go
5495,ok
21731,sorry
29287,on your side was the TNH with 6 kills...find the problem
31368,I will **** claus ******
45982,gg
38856,s1
16227,"why not fight them one at a time, that usually works"
19425,duick go
10692,sry
35722,sry
12219,idiot mka
9325,Let the west do its job
12011,ram him
48169,jtdj
18958,t30
39434,we doing hill?
40804,"last shell, 6th kill"
7442,THX ARTY ...................................................................................................................................
6216,be polite asshole LOL
35211,wz
50512,GET THE FUCK OFF
39338,Im Spotted at E6!
24777,та на хуй тебе захват
25607,why it is always fucking 279e... eh
24879,бери
26488,the light tanks in the middle killed us in TOWN
13468,but ur mom is a pro
22569,GL HF
13339,"strv,,,wake the f up"
2145,Spotted at E6!
40300,cap base guys
46141,maus
2936,gg
27670,gl
10754,idiot 0tp
29179,ebr you are cheating
22715,我很菜的 嘿嘿
34474,lets see how platoon 1 carry
28356,just how did you even drown lol
31746,gsor noob spy bourasque
24592,gg
13853,gsor
15352,XD
17467,gg
23273,karma i guess
32430,3 retards
17105,top tier heavy capping lololol
35857,because i fired
38545,"mediums support heavies, is the way i was taughtr"
53829,u need to killl amx
8422,DOH
32150,he cant pen me
37446,how much ammo udes
4902,O.o
49628,Im Spotted at D7!
9332,gg
24349,:D
28768,lol
53049,Im Spotted at F8!
25697,cap
5126,idiot e100
20552,fck unskiled pig
48085,tvp a3
49276,bourasque
35832,can you plese win for me?
30034,adam icinide geziyor ya
30303,ohhhhhhh
1984,5x ep... mehr muss man net sagen
41731,bia
22155,gg wz55
53611,Char amx is yours
12087,.i.
9344,vk100
53134,ennyi
10763,Ательчик а хулы ми спим
21014,isu
28465,hill?
8221,spawn
16824,zin move in
44444,congrats on the medal
42690,short range arty
38372,Why i risk HP and dead?
44324,pos
38439,high roll
49572,nice
25572,gg
8886,"progetto, just guard"
34484,stfu
21828,gg
51580,I can't really push
4654,wow this is slow
17343,lol
53508,"Une saloperie me vois, je suis spot Bordel D2!"
29310,wuss td opportunist ding bats
28570,9 kil ?
2369,EBR 105 reported for AFK/BOT
7214,WTF???
7245,shit
4200,Im Spotted at D4!
35264,wow
8409,very strong arty
23640,РАСВАТКА
40620,oh
17431,grile mid
3556,conqueror new td ?
22522,leo
18336,thx for wrak
4189,hide and wait
23755,I‘ve been spotted in E4!
41070,gg
3601,make them push
25753,crazy
47169,E100 afk
16375,report VK30 camper
4945,thx
7276,gl
2909,good luck team
25568,thanks
12023,bro
45630,"Stop with this noobs, it's boring."
26045,really?
13251,абидка
19026,he had this
45102,everyone pls report that borrasque
20442,thx
28411,flip me please
12666,cap fast
16619,gg bots
47019,M12 hit me
54586,lol
52335,Im Spotted at K7!
36096,tog &amp; roll !! ladies
12806,this löwe
50979,now they push
8796,I know how this works...
12669,"hi noobs, have fun"
41952,lock at that T 95
22128,your a useless POS
14405,су-5 кооонч
45424,kill lowe
46496,ikv 103
32624,з авали ебло
37790,STRV
54116,wtf hackeres
53851,spotttttttttt noob
49781,he snapped me
43154,loss
48003,bot team
20261,hahah
19946,gg
7896,rhm move
10566,HELL YEAH!
38920,so ....
15135,идиоты
31646,Grille
42920,no idea but well done
17998,that tank dies in tier 6 battle
13962,same thing as maus just the opposite
26588,Могут и гуслю 0 дать
24942,hes there
39046,gun trolll
53389,iam back
